-24802	48937	24936	43856	-69156	-98724	30559	-36327	-72714	96596	-7407	-62918	71269	-69672	-30107	13691	-25524	-10816	19555	92886	-85032	-27541	-69798	82825	-24912	-1352	51482	-85086	25311	3894	-3452	-44939	-43183	50429	72489	-28263	55953	-45919	73615	-81403	-1167	27190	-65853	-39446	10585	-76326	50902	2943	96349	71750	-6237	32672	88748	-6095	-71105	-74111	-67295	16221	67577	76246	67845	24277	9404	81411	76842	-24416	-9582	91705	-93084	16352	-41870	16412	-18992	-46527	-49116	-15346	47249	2719	-99197	58430	18979	-82387	72333	15327	22010	-26720	71506	-46480	63091	-85790	-35968	-41541	17091	-54532	-80495	11749	-8282	2596	54689	-48714
-20322	-69245	-52656	42606	-24369	15644	70644	-1116	32956	-6323	-87732	-68996	-80192	78646	1236	-41326	99781	24601	98651	-66473	-64399	96181	3376	39672	-941	-88728	-42668	63016	34634	38518	-91242	-57091	-3759	81775	49490	-68870	-62613	82835	46499	41363	-31599	-34261	75533	-39005	98899	-89141	-94192	50092	-12491	-15797	18205	40535	-86955	-22963	74340	51830	68781	38534	-67476	57114	36410	-85343	67035	77552	99027	-97143	-93246	-86134	34401	-70610	99859	64945	-68666	61442	-1890	-85029	89313	86021	-17919	91863	-84404	17108	-70419	96530	76248	51654	42079	19827	-63091	61932	-28053	29304	70354	39467	12364	-33514	49176	-72311	58827	-78084
10227	22149	-93504	94683	-72129	-79155	-61945	-11591	-2395	-18161	9154	66874	42264	-20210	90109	-73549	63766	24036	58697	-17260	59348	94843	-37642	-32411	59703	-89569	2931	-74452	95866	77826	-80703	-44806	56905	11433	7286	-69391	6776	-5786	12671	-46422	97926	96875	19867	91475	-83860	89808	-86672	-95118	10179	-44841	376	96864	90186	-770	45823	-94246	38608	-45768	8550	-53675	85975	-29797	92070	-12681	-25382	-92797	-81434	53928	-11955	-37172	-1476	2757	58265	-75799	-92377	20260	-79467	-35295	3097	-24512	-27658	-3250	52011	-43690	-98026	-56051	-45040	15133	72076	31125	-21740	50366	-9787	-73644	-99438	13209	89690	-91178	25320	90389
-12034	-97532	78664	-15272	46825	48954	30124	-12778	-14170	-93828	-39971	42032	49576	352	94658	38562	-93986	-87143	-71602	36968	12866	21526	51840	8713	-71878	-81445	21789	-38084	-71228	-51104	-82021	46481	4494	86083	32250	-32482	-61773	85435	-68758	-8944	58860	-54110	4140	89676	70513	19035	-57309	4197	15771	-14762	95502	-51074	35326	-68423	-55684	-78964	51824	43704	773	-11167	38536	-35630	25976	65823	29512	-9471	18648	-78092	-87483	33748	-57732	-34221	-19614	-11454	-51154	60366	-59152	-12355	-40030	33277	-40766	-54439	41630	20750	-42315	37997	-83596	78551	-26390	74612	-10001	-8446	-96123	-90400	54223	66795	-74776	94457	-49198	86793
-58369	40882	20460	22268	51195	85480	-41487	-84738	80984	-78389	68890	59540	82885	8010	24942	-67187	10368	33097	-98018	95795	-18743	1450	62769	-59957	-53101	-18971	-63462	25164	-22630	8846	-36002	-40365	-13576	88955	-39533	-3850	-76057	96789	39908	16922	32868	22066	78323	95139	73889	-27806	55365	86599	74813	-15971	42747	-56934	-63962	-58099	52892	-74571	29022	-91163	15638	82354	-26871	-9244	-27510	-95870	-86959	-72154	-64182	-24176	11202	82783	-67411	-31249	-84808	-75546	58330	-57083	49954	-65706	-97210	-21290	-48911	32824	42790	-37044	30132	-29298	41112	32807	39454	-99966	-12555	89692	-64992	-71946	65817	-41327	-57287	53776	-91785	-61332
89881	83318	-2229	-84214	11918	-14792	7514	-99793	-1259	-93080	42766	-94413	1731	-22770	-24451	-65287	-89974	-52248	-57130	87038	84788	-74945	-36169	39863	-43044	72710	-52206	74246	31849	55112	-69487	12880	40864	-32633	55020	-59507	-69370	38927	-75989	22723	-85103	-60783	47149	-28497	86356	87130	-62413	68698	-45170	27557	-38480	85855	27436	76647	-14332	80488	-9393	92483	-76855	-23438	-60233	18654	-39174	75229	50828	-44877	-51963	15132	1804	16557	-86770	35114	13216	-90499	-44525	15286	96518	36029	77004	-5090	73889	-83710	32740	12918	20157	8761	-42512	-51086	-9593	-36312	-51597	5587	-60224	-24047	-7105	-56342	69675	-49080	45556	-80473
38796	-33482	-32944	-7696	70765	50076	-60908	15258	-69325	2945	-20172	46178	-29409	73076	-76373	-80362	68962	22837	-79503	-47456	47168	-68705	-39305	35042	-68966	87046	44909	21092	59274	-35561	52116	82408	-53893	51827	48339	-34998	84433	45703	-92208	-50689	-16257	-87230	-54145	58367	-7855	-91748	-45971	42259	6488	-45896	26952	29694	22584	56495	-38630	-30307	-82066	123	3025	-8106	123	38485	72839	-47803	54511	-33385	-33540	-27954	79200	-93407	-32350	85861	-79831	71375	-41329	48592	-13700	-14043	-62928	-70027	19382	69958	-78293	83045	73527	29801	-92543	-56863	-3111	-88039	33489	-19823	-47712	-8399	62903	33195	-22274	-80902	-84412	79396
83997	-93189	-42172	90853	60158	92096	17350	-40938	49094	-14057	-79343	43820	55257	-15755	-58896	-33808	-8986	17289	-61183	-83734	-16584	-33785	74817	-72491	-21650	-90648	-62454	-93043	11138	40017	36365	-81607	-81248	49670	2713	-65804	-17439	-91087	14181	4128	-32027	64014	-77795	-66443	99435	-58851	-26365	34970	16427	76925	-67374	-15385	-34188	-54114	-79746	-10706	45367	59836	-83732	-51548	-43468	-44840	-4257	-99443	89167	96836	90759	-40744	-48929	-2383	7415	73187	-18898	23115	-31726	-6402	-27502	-9082	-65693	-89934	7274	-17100	59027	-64946	93915	-53546	-68736	-44545	51126	70120	-93246	31735	-93567	-49103	70165	-71554	-17842	71355	-36012	56484
-75936	60741	65480	45629	-95279	83591	50178	-21243	-80896	-2979	73219	-12349	-95495	98626	267	-59572	37894	-94300	70583	74200	70894	-29401	56713	82866	91063	43229	85538	37776	88936	44803	15856	-48334	-56189	48601	-88832	63187	33013	24039	-27635	-50192	-29937	19702	-96190	-14867	57942	37724	-63759	76318	-4994	-4291	88898	-74094	-64504	2504	23526	57281	55346	27485	99280	43839	-58648	10566	-94647	30344	66551	43612	-82008	80129	83586	-24415	54280	-14916	21598	80658	57607	-81731	-3302	98510	-98853	84190	-93922	32348	92370	-71226	54080	95652	-71182	15325	-37946	-8743	-63064	-79241	55997	83330	81057	89214	-16349	-41561	17697	-62002
5262	36817	53310	65423	-39093	-71763	63425	50024	35593	96317	54352	97338	-94937	-5850	-35728	-69185	-90366	-55103	-13323	34323	22688	-26933	33262	12323	-28196	1625	99854	55167	-41769	32786	-19560	-39940	87798	62815	76671	-47493	15175	40065	37150	-87386	-61003	-55472	-88945	76115	-52471	-29549	-45197	-80371	4459	-11079	-20741	-71208	-92193	79599	34954	-45820	-5024	67841	-91245	-71418	13015	44871	24625	75324	29145	-43412	-41336	75559	-6143	67464	97046	41162	78049	60680	80876	43117	48373	27347	70804	16922	-70816	60430	-4747	-3410	-12574	55229	-98835	-56698	70880	66165	88176	27625	-46251	-7478	-21099	2839	71724	-5324	-63319	-33240
